customer_id,name,region,last_order_date,days_inactive,churn_status,order_count
80,Lisa Mcclain,Middle East,2022-09-08,1431,Churned - Long Term,1
616,Kimberly Carr,Middle East,2022-09-09,1430,Churned - Long Term,1
696,Amy Thompson,Middle East,2022-09-24,1415,Churned - Long Term,1
566,Ashley Thompson,Europe,2022-10-02,1407,Churned - Long Term,1
219,Gregory Mejia,Africa,2022-10-16,1393,Churned - Long Term,1
768,Kelli Warren,Europe,2022-10-30,1379,Churned - Long Term,1
750,Jordan Dunn,Asia Pacific,2022-11-02,1376,Churned - Long Term,1
235,Chris Richard,Asia Pacific,2022-12-16,1332,Churned - Long Term,1
355,Scott Fernandez,South America,2022-12-17,1331,Churned - Long Term,1
738,Jeffrey Haynes,North America,2022-12-24,1324,Churned - Long Term,1
321,John Williams,Asia Pacific,2022-12-29,1319,Churned - Long Term,1
748,Gregory Bray,Europe,2023-01-09,1308,Churned - Long Term,1
572,Evelyn Wells,North America,2023-01-11,1306,Churned - Long Term,2
45,Emily Evans,Asia Pacific,2023-01-26,1291,Churned - Long Term,2
790,Unknown Customer,Middle East,2023-02-01,1285,Churned - Long Term,1
470,David Valenciañ,South America,2023-02-05,1281,Churned - Long Term,1
527,Nicholas Gross,South America,2023-02-12,1274,Churned - Long Term,1
342,Erin Love,Europe,2023-02-16,1270,Churned - Long Term,1
386,Ariel Hodge,Europe,2023-02-18,1268,Churned - Long Term,2
21,Unknown Customer,North America,2023-03-06,1252,Churned - Long Term,2
587,Victoria Cooper,Africa,2023-03-07,1251,Churned - Long Term,2
266,Danielle Moody,Asia Pacific,2023-03-11,1247,Churned - Long Term,1
784,David Gonzales,North America,2023-03-13,1245,Churned - Long Term,2
557,Justin Nichols,Asia Pacific,2023-03-14,1244,Churned - Long Term,1
771,Michelle Nguyen,Africa,2023-03-19,1239,Churned - Long Term,2
428,Michelle Rose,Asia Pacific,2023-03-20,1238,Churned - Long Term,1
126,Charles Martin,Middle East,2023-04-02,1225,Churned - Long Term,3
507,David Stein,Middle East,2023-04-04,1223,Churned - Long Term,1
575,William Bates,Africa,2023-04-09,1218,Churned - Long Term,1
275,Valerie Contreras,Africa,2023-04-20,1207,Churned - Long Term,2
150,Eric Harrison,Africa,2023-04-24,1203,Churned - Long Term,1
100,Melissa Burke,Europe,2023-05-01,1196,Churned - Long Term,1
780,Kathy Kent,Asia Pacific,2023-05-03,1194,Churned - Long Term,1
452,Mallory Simpson,Africa,2023-05-09,1188,Churned - Long Term,2
469,Victor Wheeler,Europe,2023-05-09,1188,Churned - Long Term,3
732,Jessica Hansen,South America,2023-05-21,1176,Churned - Long Term,2
334,Sean Adams,Asia Pacific,2023-05-25,1172,Churned - Long Term,2
472,Jose Williams,North America,2023-06-04,1162,Churned - Long Term,2
338,Vanessa Brooks,Middle East,2023-06-11,1155,Churned - Long Term,1
94,Brett Crane,North America,2023-06-17,1149,Churned - Long Term,2
764,Denise Page,Asia Pacific,2023-06-19,1147,Churned - Long Term,1
262,Tyler Jimenez,Middle East,2023-06-20,1146,Churned - Long Term,1
281,Erin Cooper,Middle East,2023-06-21,1145,Churned - Long Term,1
735,Daryl Palmer,Asia Pacific,2023-07-01,1135,Churned - Long Term,1
90,Samantha Hooper,North America,2023-07-03,1133,Churned - Long Term,2
643,Brandi Bender,South America,2023-07-13,1123,Churned - Long Term,1
714,Kayla Bell,Asia Pacific,2023-07-17,1119,Churned - Long Term,2
290,Scott Washington,South America,2023-08-02,1103,Churned - Long Term,2
73,Christine Davis,South America,2023-08-07,1098,Churned - Long Term,2
363,Mark Miller,Europe,2023-08-11,1094,Churned - Long Term,1
685,Kim Tucker,Europe,2023-08-16,1089,Churned - Long Term,4
183,Jesse Schroeder,Middle East,2023-09-02,1072,Churned - Long Term,2
173,Daniel Hall,Europe,2023-09-10,1064,Churned - Long Term,2
640,Kaitlyn Evansñ,North America,2023-09-11,1063,Churned - Long Term,1
258,Bradley Gonzalez,Asia Pacific,2023-09-15,1059,Churned - Long Term,3
642,William Benson,Africa,2023-09-30,1044,Churned - Long Term,3
609,Morgan Phelps,Europe,2023-10-07,1037,Churned - Long Term,1
756,Anna Bradley,North America,2023-10-13,1031,Churned - Long Term,1
107,Lauren Peterson,Unknown,2023-10-14,1030,Churned - Long Term,1
179,Cory Jennings,Asia Pacific,2023-10-16,1028,Churned - Long Term,2
736,Timothy Sanchez,North America,2023-10-19,1025,Churned - Long Term,2
463,Chelsey Martin,North America,2023-10-25,1019,Churned - Long Term,3
377,Jesse Mann,South America,2023-11-03,1010,Churned - Long Term,4
757,Lisa Woods,Europe,2023-11-03,1010,Churned - Long Term,2
576,Justin Cohen,Europe,2023-11-10,1003,Churned - Long Term,2
623,Tara Williams,Africa,2023-11-16,997,Churned - Long Term,2
408,John Bennett,Asia Pacific,2023-11-18,995,Churned - Long Term,2
108,Christopher Cortez,Asia Pacific,2023-11-19,994,Churned - Long Term,2
295,Wendy Owens,Asia Pacific,2023-11-22,991,Churned - Long Term,1
121,Brian Choi,Middle East,2023-11-23,990,Churned - Long Term,1
371,Robert Hart,North America,2023-11-24,989,Churned - Long Term,2
540,Sara Fernandez,Europe,2023-11-26,987,Churned - Long Term,2
11,Jessica Martin,Europe,2023-11-30,983,Churned - Long Term,1
538,Patricia Bush,Asia Pacific,2023-12-01,982,Churned - Long Term,1
325,Audrey Nichols,North America,2023-12-07,976,Churned - Long Term,1
605,Ethan Kelley,South America,2023-12-08,975,Churned - Long Term,3
187,Kimberly Palmer,South America,2023-12-09,974,Churned - Long Term,2
423,Zachary Arnold,Africa,2023-12-11,972,Churned - Long Term,3
268,Kimberly Johnsonğ,North America,2023-12-14,969,Churned - Long Term,2
545,Unknown Customer,Asia Pacific,2023-12-28,955,Churned - Long Term,2
165,John Campos,South America,2023-12-31,952,Churned - Long Term,2
627,Diamond Bryant,North America,2024-01-24,928,Churned - Long Term,3
489,Micheal Bonilla,North America,2024-01-26,926,Churned - Long Term,2
763,Richard Meadows,South America,2024-01-28,924,Churned - Long Term,3
549,Michelle Wells,Middle East,2024-02-04,917,Churned - Long Term,2
294,Lisa Peck,Asia Pacific,2024-02-08,913,Churned - Long Term,2
420,Michael Cooper,Africa,2024-02-13,908,Churned - Long Term,2
274,Shannon Roach,Middle East,2024-02-18,903,Churned - Long Term,3
59,Nicole Johnson,Middle East,2024-03-16,876,Churned - Long Term,2
530,Julie Young,South America,2024-03-18,874,Churned - Long Term,2
429,Brenda Bailey,Africa,2024-03-21,871,Churned - Long Term,2
277,David Harris,Unknown,2024-04-04,857,Churned - Long Term,1
291,Jessica Valencia,Middle East,2024-04-13,848,Churned - Long Term,2
434,Leonard Hayes™,Middle East,2024-04-16,845,Churned - Long Term,2
123,Hannah Harrison,Europe,2024-04-24,837,Churned - Long Term,3
247,Justin Gallegos,North America,2024-04-29,832,Churned - Long Term,5
300,Paul Cole,Unknown,2024-04-29,832,Churned - Long Term,2
581,Gina Little,Middle East,2024-05-13,818,Churned - Long Term,1
624,Christian Wallace,South America,2024-05-13,818,Churned - Long Term,3
278,Angela Wood,North America,2024-05-14,817,Churned - Long Term,3
800,Unknown Customer,South America,2024-05-21,810,Churned - Long Term,1
233,Debbie Henderson,Europe,2024-05-22,809,Churned - Long Term,3
139,Marilyn Jimenez,Africa,2024-05-29,802,Churned - Long Term,3
741,Patricia Adams,Africa,2024-06-03,797,Churned - Long Term,2
677,Eugene Walker,Europe,2024-06-05,795,Churned - Long Term,3
450,Stephanie Murphy,Europe,2024-06-09,791,Churned - Long Term,2
29,Jean Brown,South America,2024-06-10,790,Churned - Long Term,2
177,Eric Perry,Middle East,2024-06-15,785,Churned - Long Term,1
111,Michael Chavez,Africa,2024-06-18,782,Churned - Long Term,2
5,Roberto Ramirez,Middle East,2024-06-24,776,Churned - Long Term,1
297,Carla Cameron,Europe,2024-06-26,774,Churned - Long Term,4
753,Gina Olsen,North America,2024-06-27,773,Churned - Long Term,2
480,Alexandria Baker,North America,2024-06-29,771,Churned - Long Term,1
626,Angela Smith,South America,2024-06-29,771,Churned - Long Term,4
789,James Moss,Asia Pacific,2024-07-03,767,Churned - Long Term,1
238,Erica Young,Africa,2024-07-06,764,Churned - Long Term,2
143,Mary Carpenter,South America,2024-07-21,749,Churned - Long Term,2
264,Donna Parker,Africa,2024-07-22,748,Churned - Long Term,4
506,Lisa Johnson,North America,2024-07-26,744,Churned - Long Term,2
343,Brian Anderson,South America,2024-07-28,742,Churned - Long Term,3
574,Stephen Robinson,South America,2024-08-02,737,Churned - Long Term,3
707,Douglas Aguilar,North America,2024-08-04,735,Churned - Long Term,4
367,David Key,South America,2024-08-07,732,Churned - Long Term,2
514,Paul White,Europe,2024-08-09,730,Churned - Long Term,1
322,Robert Love,Europe,2024-08-12,727,Churned - Long Term,1
248,Christina Bullock,South America,2024-08-13,726,Churned - Long Term,6
12,Gabrielle Cameron,Middle East,2024-08-14,725,Churned - Long Term,4
332,Penny Wilcoxñ,South America,2024-08-16,723,Churned - Long Term,4
515,Unknown Customer,North America,2024-08-16,723,Churned - Long Term,4
467,Jamie Lawson,Asia Pacific,2024-08-17,722,Churned - Long Term,1
754,Melissa Gonzalez,Africa,2024-08-21,718,Churned - Long Term,1
72,Susan Fitzgerald,Asia Pacific,2024-08-22,717,Churned - Long Term,3
474,Amanda Hernandez,Africa,2024-08-23,716,Churned - Long Term,4
22,Amber Osborne,South America,2024-09-05,703,Churned - Long Term,2
794,Kristen Alvarez,Middle East,2024-09-06,702,Churned - Long Term,2
776,Alan Weeks,South America,2024-09-09,699,Churned - Long Term,4
457,Brett Garrett,Africa,2024-09-14,694,Churned - Long Term,1
356,Jim Hendricks,Africa,2024-09-19,689,Churned - Long Term,5
495,Dana Foster,Africa,2024-09-21,687,Churned - Long Term,2
64,Gregory Estes,North America,2024-09-25,683,Churned - Long Term,2
75,Charles Perry,Asia Pacific,2024-09-25,683,Churned - Long Term,3
661,Manuel Moon,North America,2024-09-25,683,Churned - Long Term,4
632,James Martinez,Asia Pacific,2024-09-26,682,Churned - Long Term,1
134,Tara Powell,Middle East,2024-10-01,677,Churned - Long Term,3
633,James Morgan,South America,2024-10-01,677,Churned - Long Term,4
669,Shannon Sullivan,Africa,2024-10-01,677,Churned - Long Term,4
601,Johnny Miles,North America,2024-10-02,676,Churned - Long Term,2
97,Miguel Obrien,Europe,2024-10-07,671,Churned - Long Term,1
497,Mark Chavez,Middle East,2024-10-14,664,Churned - Long Term,1
41,Breanna Shaw,Europe,2024-10-17,661,Churned - Long Term,4
61,Jeffrey Velasquez,Africa,2024-10-19,659,Churned - Long Term,2
398,Curtis Miller,North America,2024-10-21,657,Churned - Long Term,4
639,Tara Chavez,Africa,2024-10-23,655,Churned - Long Term,2
131,Lisa Costa,Africa,2024-10-26,652,Churned - Long Term,3
273,Justin Hendricks,Unknown,2024-10-28,650,Churned - Long Term,1
230,Melissa Brandt,South America,2024-10-29,649,Churned - Long Term,4
349,Nancy Anderson,South America,2024-10-29,649,Churned - Long Term,3
250,David Allen,South America,2024-10-31,647,Churned - Long Term,2
464,Robert Parks,Middle East,2024-11-02,645,Churned - Long Term,1
87,Kenneth Price,Asia Pacific,2024-11-05,642,Churned - Long Term,1
146,Robert Flores,Asia Pacific,2024-11-11,636,Churned - Long Term,2
504,Laura Martinez,South America,2024-11-11,636,Churned - Long Term,2
578,Rachel Trujillo,Africa,2024-11-12,635,Churned - Long Term,1
762,Crystal Thomas,North America,2024-11-13,634,Churned - Long Term,2
293,Brent Dougherty,Europe,2024-11-14,633,Churned - Long Term,2
563,Joseph Butler,North America,2024-11-16,631,Churned - Long Term,1
103,Gregory Boyd,Africa,2024-11-18,629,Churned - Long Term,2
783,Edwin Booker,South America,2024-11-18,629,Churned - Long Term,2
791,David Olson,Asia Pacific,2024-11-23,624,Churned - Long Term,2
216,Matthew Cook,Middle East,2024-11-24,623,Churned - Long Term,2
118,Crystal Brown,South America,2024-11-25,622,Churned - Long Term,2
298,Melanie Jordan,Middle East,2024-11-26,621,Churned - Long Term,2
792,Elizabeth Mcpherson,Europe,2024-11-28,619,Churned - Long Term,5
728,Melissa Galvan,South America,2024-11-29,618,Churned - Long Term,4
416,Deborah Rasmussen,Africa,2024-12-05,612,Churned - Long Term,3
418,Kelsey Chapman,Asia Pacific,2024-12-07,610,Churned - Long Term,4
502,Randy Williams,Asia Pacific,2024-12-08,609,Churned - Long Term,2
127,Holly Bender,North America,2024-12-11,606,Churned - Long Term,2
595,Jessica Carlson,South America,2024-12-11,606,Churned - Long Term,2
53,Tina Martin,Asia Pacific,2024-12-13,604,Churned - Long Term,2
438,Stephen Newton,Europe,2024-12-14,603,Churned - Long Term,1
269,Patrick Bradley,South America,2024-12-17,600,Churned - Long Term,2
228,Paul Schroeder,Middle East,2024-12-21,596,Churned - Long Term,5
83,Joseph Flores,North America,2024-12-23,594,Churned - Long Term,2
471,Gerald Ruiz,Asia Pacific,2024-12-23,594,Churned - Long Term,2
520,Unknown Customer,Europe,2024-12-24,593,Churned - Long Term,5
655,Bill Mcfarland,Europe,2024-12-30,587,Churned - Long Term,2
42,Melissa Jones,Europe,2024-12-31,586,Churned - Long Term,3
318,Loretta Blevins,Africa,2025-01-07,579,Churned - Long Term,4
341,James Herrera,Middle East,2025-01-08,578,Churned - Long Term,2
153,Gabrielle Mitchell,Europe,2025-01-11,575,Churned - Long Term,4
656,Megan Turner,Europe,2025-01-11,575,Churned - Long Term,5
485,Robert Cortez,Europe,2025-01-13,573,Churned - Long Term,3
392,Brian Kim,North America,2025-01-15,571,Churned - Long Term,4
180,Tammy Rush™,South America,2025-01-19,567,Churned - Long Term,2
544,Kristen Ruiz,South America,2025-01-21,565,Churned - Long Term,4
682,Elijah Knight,Africa,2025-01-21,565,Churned - Long Term,3
55,Brandi Hernandez,Middle East,2025-01-22,564,Churned - Long Term,3
594,Wesley Torres,Asia Pacific,2025-01-23,563,Churned - Long Term,4
745,Leslie Villanueva,North America,2025-01-23,563,Churned - Long Term,3
323,Sarah Russell,Africa,2025-01-24,562,Churned - Long Term,2
440,Amy Fritz,Middle East,2025-01-24,562,Churned - Long Term,4
46,Anna Garcia,Europe,2025-01-27,559,Churned - Long Term,2
60,Joseph Cobb,Middle East,2025-01-28,558,Churned - Long Term,3
