customer_id,name,region,order_count,avg_order_value,total_revenue,revenue_per_order,active_days,projected_annual_value
394,Tracy Kelly,North America,9,3196.44,115071.81,12785.76,1239,33899.28
746,Raymond Christensen,Middle East,7,3523.41,109225.74,15603.68,1379,28910.37
441,Shannon Bailey,Asia Pacific,5,4023.92,100598.09,20119.62,1246,29468.94
454,Mary Smith,Middle East,8,3312.73,99381.84,12422.73,1185,30611.28
74,James Johnson,Europe,6,3498.66,94463.83,15743.97,1227,28100.49
160,Hannah Bryant,Europe,5,3122.7,87435.6,17487.12,995,32074.37
153,Gabrielle Mitchell,Europe,4,4157.86,87315.02,21828.76,663,48069.35
168,Kristin Walter,South America,5,4362.14,87242.87,17448.57,1138,27982.12
32,Donna Gomez,North America,6,3776.46,86858.69,14476.45,1308,24238.09
691,Elaine Charles,Africa,6,3554.86,85316.57,14219.43,1451,21461.44
588,Henry Miller,Europe,7,3639.82,83715.9,11959.41,1366,22369.18
361,Thomas Atkinson,Asia Pacific,6,4396.68,83536.88,13922.81,1356,22485.96
31,Barbara Sanchez,Africa,5,3712.16,81667.47,16333.49,1091,27322.3
432,Devin Reyes,South America,5,3980.57,79611.33,15922.27,1185,24521.63
198,Morgan Pugh,Africa,6,3038.28,78995.34,13165.89,1374,20984.93
443,Gabriel Taylor,South America,5,3746.11,78668.26,15733.65,921,31176.89
397,Daniel Smith,Asia Pacific,4,5143.37,77150.6,19287.65,1315,21414.43
245,Sarah Perry,Europe,6,3192.73,76625.44,12770.91,1289,21697.66
712,Rachel Ryan,Europe,9,3064.91,76622.74,8513.64,1329,21043.87
520,Unknown Customer,Europe,5,3598.5,75568.54,15113.71,797,34607.93
710,William Barnes,Africa,6,2786.83,75244.46,12540.74,1175,23373.81
681,Rachel Stewart,Asia Pacific,7,4403.67,74862.41,10694.63,1147,23822.82
707,Douglas Aguilar,North America,4,4402.59,74844.02,18711.01,679,40232.79
297,Carla Cameron,Europe,4,3538.33,74305.0,18576.25,651,41661.02
392,Brian Kim,North America,4,3901.08,74120.59,18530.15,615,43990.27
213,Jenna Butler,Asia Pacific,6,3522.65,73975.72,12329.29,1127,23958.42
271,Debra Wright,North America,5,3071.42,73714.01,14742.8,1039,25895.68
195,Ronald Ortega,Europe,5,3661.78,73235.56,14647.11,551,48513.57
236,Christine Harper,Europe,5,3318.27,73001.99,14600.4,1243,21436.63
156,Amanda Knight,Europe,6,4049.22,72886.01,12147.67,1000,26603.39
50,Julia Moore,Africa,4,3823.43,72645.19,18161.3,1011,26227.0
466,John Newman,North America,6,3987.69,71778.36,11963.06,1213,21598.6
519,Stacey Elliott,Asia Pacific,3,4475.11,71601.71,23867.24,741,35269.4
567,Stephen Hull,Africa,4,3753.7,71320.35,17830.09,1282,20305.72
318,Loretta Blevins,Africa,4,5078.13,71093.78,17773.44,516,50289.2
