customer_id,name,region,revenue,rank_in_region
691,Elaine Charles,Africa,85316.57,1
31,Barbara Sanchez,Africa,81667.47,2
198,Morgan Pugh,Africa,78995.34,3
710,William Barnes,Africa,75244.46,4
50,Julia Moore,Africa,72645.19,5
567,Stephen Hull,Africa,71320.35,6
318,Loretta Blevins,Africa,71093.78,7
356,Jim Hendricks,Africa,69839.46,8
673,Derek Myers,Africa,68679.39,9
513,Michael Stephens,Africa,66725.29,10
733,Catherine Lee,Africa,65353.9,11
264,Donna Parker,Africa,64422.77,12
474,Amanda Hernandez,Africa,59962.27,13
665,Crystal Lewis,Africa,59424.43,14
462,Nancy May,Africa,58823.08,15
330,Daniel Martin,Africa,58280.25,16
350,Allison Luna,Africa,55504.99,17
178,Antonio Wood,Africa,55085.48,18
69,Elizabeth Gray,Africa,54707.6,19
241,Patrick Rose,Africa,54359.08,20
77,Nicole Osborne,Africa,53979.17,21
412,Kristina Jones,Africa,53001.94,22
413,William Knapp,Africa,52064.53,23
483,John Ruiz,Africa,51557.87,24
758,Michael Castro,Africa,51202.82,25
597,Lisa Smith,Africa,48787.78,26
85,Steven Brown,Africa,48276.25,27
259,Veronica Daniels,Africa,48211.9,28
132,Mia Rivera,Africa,47172.83,29
613,Mary Vaughn,Africa,46255.26,30
686,Juan Serrano,Africa,45090.28,31
253,Christopher Villegas,Africa,44987.49,32
218,Curtis Scott,Africa,44382.01,33
373,Ashley Sanchez,Africa,44123.2,34
682,Elijah Knight,Africa,43057.44,35
779,Maria Walker,Africa,42885.87,36
634,Mary Chapman,Africa,42523.57,37
23,Daniel Cox,Africa,42341.86,38
456,Nancy Mcdowell,Africa,42065.66,39
406,Derek Flores,Africa,41408.8,40
48,Jade Carr,Africa,41319.18,41
798,Andrew Gray,Africa,39990.22,42
642,William Benson,Africa,39446.03,43
131,Lisa Costa,Africa,39096.74,44
727,Sonya Wilkins,Africa,38646.06,45
423,Zachary Arnold,Africa,38615.52,46
532,John Jones,Africa,37870.58,47
98,Larry Lane,Africa,37507.17,48
684,Dennis Quinn😀,Africa,37248.62,49
393,Stephanie Sanders,Africa,35958.48,50
116,Audrey Harrison,Africa,35423.35,51
221,Unknown Customer,Africa,35373.46,52
19,Nicole Potter,Africa,34437.87,53
669,Shannon Sullivan,Africa,34234.15,54
246,Jeffrey Flores,Africa,34185.97,55
312,Samantha Salas,Africa,33886.32,56
222,Michael Jones,Africa,33784.06,57
112,David Herrera,Africa,33764.87,58
379,Adam Arnold,Africa,33211.69,59
47,Michael Jones,Africa,33028.76,60
315,Todd Bernard,Africa,32791.92,61
615,Dale Pruitt,Africa,32604.59,62
666,Amanda Park,Africa,32579.05,63
384,Clayton Gray,Africa,31960.5,64
35,Joshua Wright,Africa,31766.84,65
152,Jennifer Malone,Africa,30964.92,66
106,Nicholas Johnson,Africa,30914.99,67
452,Mallory Simpson,Africa,30914.65,68
766,Melissa Martinez,Africa,30507.77,69
368,Randy Allen,Africa,30501.3,70
28,Caleb Smith,Africa,29822.81,71
275,Valerie Contreras,Africa,29769.89,72
429,Brenda Bailey,Africa,29766.81,73
495,Dana Foster,Africa,29661.3,74
604,Chelsea Strickland,Africa,28915.9,75
606,Jimmy Smith,Africa,28235.26,76
227,John Kim,Africa,26686.26,77
416,Deborah Rasmussen,Africa,26627.8,78
