customer_id,name,region,order_count,total_revenue
746,Raymond Christensen,Middle East,9,135245.3
392,Brian Kim,North America,7,130736.51
441,Shannon Bailey,Asia Pacific,7,126030.16
394,Tracy Kelly,North America,10,116838.65
582,Howard Davis✓,Unknown,8,111543.3
153,Gabrielle Mitchell,Europe,6,109375.79
681,Rachel Stewart,Asia Pacific,10,108252.16
74,James Johnson,Europe,8,106742.65
328,Ashley Rodriguez,North America,11,105995.37
673,Derek Myers,Africa,6,105954.03
456,Nancy Mcdowell,Africa,7,105100.31
193,Diana Rich,South America,7,104805.0
236,Christine Harper,Europe,7,103586.46
567,Stephen Hull,Africa,6,103389.99
350,Allison Luna,Africa,4,102957.18
85,Steven Brown,Africa,8,100189.99
31,Barbara Sanchez,Africa,6,99483.56
454,Mary Smith,Middle East,8,99381.84
626,Angela Smith,South America,7,99314.25
432,Devin Reyes,South America,6,98936.77
728,Melissa Galvan,South America,7,96851.59
213,Jenna Butler,Asia Pacific,7,95084.14
198,Morgan Pugh,Africa,8,94542.01
160,Hannah Bryant,Europe,7,94339.43
435,James Cruz,Asia Pacific,8,94335.73
361,Thomas Atkinson,Asia Pacific,7,93895.52
710,William Barnes,Africa,9,93738.35
636,Savannah Roberson,North America,8,93353.64
156,Amanda Knight,Europe,7,93081.82
195,Ronald Ortega,Europe,6,91934.29
32,Donna Gomez,North America,7,91791.8
794,Kristen Alvarez,Middle East,6,91652.52
443,Gabriel Taylor,South America,6,91568.96
707,Douglas Aguilar,North America,5,91077.48
12,Gabrielle Cameron,Middle East,9,90129.63
271,Debra Wright,North America,7,89864.06
588,Henry Miller,Europe,8,88325.8
25,David Keller,Middle East,6,88105.99
301,Unknown Customer,Europe,4,87713.35
168,Kristin Walter,South America,5,87242.87
519,Stacey Elliott,Asia Pacific,4,85778.17
691,Elaine Charles,Africa,6,85316.57
590,Kristen Chan,Europe,9,85288.43
297,Carla Cameron,Europe,5,85083.67
29,Jean Brown,South America,5,84980.62
664,Cody Bonilla,Middle East,8,84817.94
245,Sarah Perry,Europe,8,84286.73
318,Loretta Blevins,Africa,6,83602.42
770,Courtney Anderson,Europe,7,83501.01
135,Robert Lopez,North America,5,83144.55
381,Daniel Davis,Europe,6,82963.43
520,Unknown Customer,Europe,6,82701.65
397,Daniel Smith,Asia Pacific,5,82414.53
232,Sharon Collins,Asia Pacific,7,82238.95
776,Alan Weeks,South America,5,81901.29
759,Unknown Customer,Europe,6,81893.82
4,Robert Cole,Europe,7,81845.73
365,Kathleen Ramsey,Asia Pacific,10,81337.81
418,Kelsey Chapman,Asia Pacific,6,81329.38
356,Jim Hendricks,Africa,6,81054.23
93,Karen Decker,Europe,6,81025.57
382,Lisa Adams,Europe,6,80950.89
311,Robert Gutierrez,Asia Pacific,5,80435.94
625,Sergio Wilson,Middle East,7,80313.98
119,Angela Butler,North America,7,80243.84
3,Jeffery Wagner,Middle East,6,79749.91
482,Emily Wilson,South America,5,79643.84
96,Thomas Wilson,Asia Pacific,6,78704.16
498,Kayla Rodriguez,South America,7,78325.61
461,Lawrence Ibarra,North America,8,78302.54
500,Melissa Davis,South America,7,77827.24
287,Brandon May,Middle East,5,77722.3
674,Erica Sloan,Middle East,7,77521.03
475,Amanda Myers,North America,6,77505.79
50,Julia Moore,Africa,5,77375.15
506,Lisa Johnson,North America,4,77350.75
256,Matthew Day,Europe,6,76918.89
712,Rachel Ryan,Europe,10,76622.74
757,Lisa Woods,Europe,4,76601.83
512,Dawn Robles,South America,6,76411.56
132,Mia Rivera,Africa,6,76071.63
532,John Jones,Africa,7,75391.56
366,Mason Krueger,Asia Pacific,6,75357.5
495,Dana Foster,Africa,5,74794.6
152,Jennifer Malone,Africa,5,74754.78
189,Yolanda Boone,North America,7,74693.24
701,Robert Rivera,South America,6,74455.26
488,Alan Gonzalez,Europe,4,74386.46
792,Elizabeth Mcpherson,Europe,6,74017.12
648,John Mueller,Asia Pacific,5,73969.58
713,Nancy Wolfe,Asia Pacific,6,73913.94
621,Patricia Salazar,North America,8,73910.65
76,Reginald Hernandez,Europe,6,73852.08
549,Michelle Wells,Middle East,4,73452.21
583,Stacey Lam,Middle East,6,73439.78
289,John Aguirre,Asia Pacific,6,73096.14
98,Larry Lane,Africa,6,73046.64
630,Cynthia Marsh,North America,5,72788.57
736,Timothy Sanchez,North America,6,72483.65
493,Robert Woodward,Europe,5,72129.88
421,Connor Bowen,Asia Pacific,8,72101.27
86,Unknown Customer,Unknown,6,71842.39
178,Antonio Wood,Africa,6,71807.56
466,John Newman,North America,6,71778.36
600,Andrew Norris,Asia Pacific,6,71479.84
80,Lisa Mcclain,Middle East,5,71348.83
783,Edwin Booker,South America,4,71243.26
740,Kaitlyn Peterson,Europe,7,71215.7
772,Sarah Dunn,Europe,6,71014.31
688,Kayla Lewis,Europe,5,70256.81
383,Annette Branch,South America,3,70166.86
415,Elizabeth Jackson,Asia Pacific,5,69993.04
249,Shelby Lynch,Middle East,4,69747.33
744,Elizabeth Austin,North America,4,69692.64
373,Ashley Sanchez,Africa,6,69622.01
36,Andrea Williams,Middle East,5,69620.27
41,Breanna Shaw,Europe,6,69574.85
513,Michael Stephens,Africa,5,69473.13
92,Jorge Murphy,North America,3,69391.02
539,Brian Rivera,Asia Pacific,6,69372.48
724,Adam Davis,Middle East,5,69254.86
77,Nicole Osborne,Africa,6,68909.94
704,Gabriel Nielsen,South America,5,68803.05
126,Charles Martin,Middle East,4,68673.59
761,Kim Griffin,Middle East,5,68609.6
218,Curtis Scott,Africa,4,68551.99
627,Diamond Bryant,North America,7,68420.44
468,Kristen Leon,Middle East,6,68320.87
362,Anna Faulkner,North America,4,68263.97
354,Brittney Griffin,Europe,5,68195.53
66,Jonathan Fletcher,Middle East,5,67957.32
781,Robert Castaneda,North America,7,67892.48
624,Christian Wallace,South America,5,67715.19
591,Roy Woods,Asia Pacific,8,67595.11
210,David Jimenez,Middle East,5,67493.93
417,Jonathan Dixon,Europe,4,67359.8
