customer_id,name,r_score,f_score,m_score,segment
153,Gabrielle Mitchell,2,5,5,At Risk
520,Unknown Customer,2,5,5,At Risk
707,Douglas Aguilar,1,5,5,At Risk
297,Carla Cameron,1,5,5,At Risk
392,Brian Kim,2,5,5,At Risk
318,Loretta Blevins,2,5,5,At Risk
792,Elizabeth Mcpherson,2,5,5,At Risk
356,Jim Hendricks,1,5,5,At Risk
776,Alan Weeks,1,5,5,At Risk
66,Jonathan Fletcher,2,5,5,At Risk
537,Eugene Jones,2,4,5,At Risk
264,Donna Parker,1,5,5,At Risk
353,Christina Mayer,2,5,5,At Risk
128,Bill Reynolds,2,5,5,At Risk
377,Jesse Mann,1,5,5,At Risk
626,Angela Smith,1,5,5,At Risk
232,Sharon Collins,2,5,5,At Risk
474,Amanda Hernandez,1,5,5,At Risk
462,Nancy May,1,4,5,At Risk
256,Matthew Day,2,5,5,At Risk
12,Gabrielle Cameron,1,5,5,At Risk
648,John Mueller,2,5,5,At Risk
435,James Cruz,2,5,5,At Risk
248,Christina Bullock,1,5,5,At Risk
621,Patricia Salazar,2,5,5,At Risk
485,Robert Cortez,2,4,5,At Risk
772,Sarah Dunn,2,5,4,At Risk
247,Justin Gallegos,1,5,4,At Risk
469,Victor Wheeler,1,4,4,At Risk
518,Joel Stewart,2,4,4,At Risk
126,Charles Martin,1,4,4,At Risk
230,Melissa Brandt,2,4,4,At Risk
613,Mary Vaughn,2,4,4,At Risk
314,Steve Patel,2,4,4,At Risk
101,Mitchell Hunterğ,2,4,4,At Risk
398,Curtis Miller,2,4,4,At Risk
686,Juan Serrano,2,4,4,At Risk
16,William Davis,2,4,4,At Risk
492,Diane Sweeney,2,4,4,At Risk
7,Unknown Customer,2,4,4,At Risk
123,Hannah Harrison,1,4,4,At Risk
332,Penny Wilcoxñ,1,4,4,At Risk
418,Kelsey Chapman,2,4,4,At Risk
682,Elijah Knight,2,4,4,At Risk
456,Nancy Mcdowell,2,4,4,At Risk
770,Courtney Anderson,2,4,4,At Risk
308,Diana Stanton,2,4,4,At Risk
594,Wesley Torres,2,4,4,At Risk
406,Derek Flores,2,4,4,At Risk
55,Brandi Hernandez,2,4,4,At Risk
258,Bradley Gonzalez,1,4,4,At Risk
624,Christian Wallace,1,4,4,At Risk
41,Breanna Shaw,2,4,4,At Risk
349,Nancy Anderson,2,3,4,At Risk
728,Melissa Galvan,2,4,4,At Risk
316,Janet Vaughn,2,3,4,At Risk
508,Gary Berry,2,3,4,At Risk
642,William Benson,1,3,4,At Risk
515,Unknown Customer,1,4,4,At Risk
131,Lisa Costa,2,3,4,At Risk
423,Zachary Arnold,1,3,4,At Risk
782,Unknown Customer,2,3,4,At Risk
98,Larry Lane,2,3,4,At Risk
656,Megan Turner,2,5,4,At Risk
661,Manuel Moon,1,4,4,At Risk
81,Michelle Coleğ,2,5,4,At Risk
627,Diamond Bryant,1,3,4,At Risk
395,Donna Miller,2,4,3,At Risk
226,Lisa Monroe,2,3,3,At Risk
678,Melissa York,2,3,3,At Risk
411,Robert Porter,2,3,3,At Risk
669,Shannon Sullivan,1,4,3,At Risk
352,Steven Moore,2,3,3,At Risk
358,Angela Vargas,2,3,3,At Risk
42,Melissa Jones,2,3,3,At Risk
313,Ann Bolton,2,3,3,At Risk
379,Adam Arnold,2,4,3,At Risk
475,Amanda Myers,2,3,3,At Risk
43,Ashley Riley,2,3,3,At Risk
555,Alexandra Barnes,2,3,3,At Risk
75,Charles Perry,1,3,3,At Risk
72,Susan Fitzgerald,1,3,3,At Risk
215,Ryan Morales,2,3,3,At Risk
463,Chelsey Martin,1,3,3,At Risk
278,Angela Wood,1,3,3,At Risk
