customer_id,name,email,customer_type,region,city,joined_date,customer_name,registration_date
1,Danielle Johnson,jeffreydoyle@example.com,VIP,South America,Houston,2023-10-11,Danielle Johnson,2023-10-11
2,Erica Mcclain,fjohnson@example.com,PREMIUM,South America,New York,2022-12-23,Erica Mcclain,2022-12-23
3,Jeffery Wagner,jennifermiles@example.com,NEW,Middle East,New York,2022-09-20,Jeffery Wagner,2022-09-20
4,Robert Cole,blakeerik@example.com,PREMIUM,Europe,Sao Paulo,2023-10-16,Robert Cole,2023-10-16
5,Roberto Ramirez,curtis61@example.com,NEW,Middle East,Sao Paulo,2023-07-10,Roberto Ramirez,2023-07-10
6,Michael Cooper,blairamanda@example.com,VIP,Middle East,Unknown,2023-09-24,Michael Cooper,2023-09-24
7,Unknown Customer,maria95@example.com,VIP,Asia Pacific,Mumbai,2024-12-14,Unknown Customer,2024-12-14
8,Barbara Bush,kendragalloway@example.com,REGULAR,Middle East,Berlin,2022-10-20,Barbara Bush,2022-10-20
9,Melissa Delacruz,shawn52@example.com,PREMIUM,Africa,Los Angeles,2024-03-22,Melissa Delacruz,2024-03-22
10,Mitchell Clark,lynchgeorge@example.com,PREMIUM,Middle East,Toronto,2023-09-28,Mitchell Clark,2023-09-28
11,Jessica Martin,veronica83@example.com,PREMIUM,Europe,Tokyo,2024-03-21,Jessica Martin,2024-03-21
12,Gabrielle Cameron,perezantonio@example.com,PREMIUM,Middle East,Los Angeles,2025-11-27,Gabrielle Cameron,2025-11-27
13,Leslie Adams,jason76@example.com,REGULAR,Asia Pacific,Dubai,2023-07-03,Leslie Adams,2023-07-03
14,Nicole Day™,donald88@example.com,VIP,Africa,Sydney,2023-03-19,Nicole Day™,2023-03-19
15,Jose Richards,icox@example.com,VIP,Middle East,Houston,2026-06-04,Jose Richards,2026-06-04
16,William Davis,hernandezernest@example.com,PREMIUM,Europe,New York,2022-10-22,William Davis,2022-10-22
17,Erin Carlson,dcarlson@example.com,VIP,South America,Chicago,2024-03-29,Erin Carlson,2024-03-29
18,Allison Maddox,frazierdanny@example.com,PREMIUM,Africa,London,2026-04-08,Allison Maddox,2026-04-08
19,Nicole Potter,daniel62@example.com,PREMIUM,Africa,Mumbai,2025-11-15,Nicole Potter,2025-11-15
20,Shawn Mckay,teresa28@example.com,VIP,North America,Berlin,2026-05-01,Shawn Mckay,2026-05-01
21,Unknown Customer,ericfarmer@example.com,VIP,North America,Tokyo,2023-11-16,Unknown Customer,2023-11-16
22,Amber Osborne,georgetracy@example.com,NEW,South America,Cape Town,2024-11-10,Amber Osborne,2024-11-10
23,Daniel Cox,john39@example.com,NEW,Africa,Houston,2026-02-21,Daniel Cox,2026-02-21
24,Stacey Miller,spenceamanda@example.com,PREMIUM,South America,Phoenix,2024-09-02,Stacey Miller,2024-09-02
25,David Keller,josephbrennan@example.com,NEW,Middle East,New York,2024-12-11,David Keller,2024-12-11
26,Rodney Lewis,jenniferross@example.com,NEW,Asia Pacific,Sao Paulo,2024-11-24,Rodney Lewis,2024-11-24
