customer_id,name,total_spend,cum_distribution
394,Tracy Kelly,115071.81,0.0014
746,Raymond Christensen,109225.74,0.0028
441,Shannon Bailey,100598.09,0.0041
454,Mary Smith,99381.84,0.0055
74,James Johnson,94463.83,0.0069
160,Hannah Bryant,87435.6,0.0083
153,Gabrielle Mitchell,87315.02,0.0096
168,Kristin Walter,87242.87,0.011
32,Donna Gomez,86858.69,0.0124
691,Elaine Charles,85316.57,0.0138
588,Henry Miller,83715.9,0.0152
361,Thomas Atkinson,83536.88,0.0165
31,Barbara Sanchez,81667.47,0.0179
432,Devin Reyes,79611.33,0.0193
198,Morgan Pugh,78995.34,0.0207
443,Gabriel Taylor,78668.26,0.022
397,Daniel Smith,77150.6,0.0234
245,Sarah Perry,76625.44,0.0248
712,Rachel Ryan,76622.74,0.0262
520,Unknown Customer,75568.54,0.0275
710,William Barnes,75244.46,0.0289
681,Rachel Stewart,74862.41,0.0303
707,Douglas Aguilar,74844.02,0.0317
297,Carla Cameron,74305.0,0.0331
392,Brian Kim,74120.59,0.0344
213,Jenna Butler,73975.72,0.0358
271,Debra Wright,73714.01,0.0372
195,Ronald Ortega,73235.56,0.0386
236,Christine Harper,73001.99,0.0399
156,Amanda Knight,72886.01,0.0413
50,Julia Moore,72645.19,0.0427
466,John Newman,71778.36,0.0441
519,Stacey Elliott,71601.71,0.0455
567,Stephen Hull,71320.35,0.0468
318,Loretta Blevins,71093.78,0.0482
664,Cody Bonilla,70809.33,0.0496
792,Elizabeth Mcpherson,70626.86,0.051
193,Diana Rich,70571.56,0.0523
383,Annette Branch,70166.86,0.0537
356,Jim Hendricks,69839.46,0.0551
381,Daniel Davis,69784.22,0.0565
249,Shelby Lynch,69747.33,0.0579
744,Elizabeth Austin,69692.64,0.0592
92,Jorge Murphy,69391.02,0.0606
776,Alan Weeks,69240.71,0.062
630,Cynthia Marsh,68695.43,0.0634
673,Derek Myers,68679.39,0.0647
761,Kim Griffin,68609.6,0.0661
468,Kristen Leon,68320.87,0.0675
66,Jonathan Fletcher,67957.32,0.0689
86,Unknown Customer,67625.27,0.0702
591,Roy Woods,67595.11,0.0716
328,Ashley Rodriguez,67576.45,0.073
210,David Jimenez,67493.93,0.0744
529,Lisa Carr,67288.67,0.0758
145,Molly Pollard,67050.11,0.0771
513,Michael Stephens,66725.29,0.0785
759,Unknown Customer,66587.49,0.0799
200,Daniel Bruce,65985.25,0.0813
537,Eugene Jones,65921.46,0.0826
713,Nancy Wolfe,65490.08,0.084
733,Catherine Lee,65353.9,0.0854
376,Charles Meyers,65180.97,0.0868
590,Kristen Chan,65078.05,0.0882
264,Donna Parker,64422.77,0.0895
353,Christina Mayer,64266.57,0.0909
128,Bill Reynolds,63969.57,0.0923
289,John Aguirre,63205.2,0.0937
135,Robert Lopez,62728.3,0.095
377,Jesse Mann,61972.11,0.0964
