customer_id,name,email,undelivered_orders,last_order_date,statuses
12,Gabrielle Cameron,perezantonio@example.com,9,2026-07-28,"REFUNDED,SHIPPED,CANCELLED,PROCESSING"
284,Meghan King,david49@example.com,9,2025-10-30,"PROCESSING,RETURNED,SHIPPED,CANCELLED,PENDING"
435,James Cruz,fortiz@example.com,8,2025-04-04,"SHIPPED,PENDING,PROCESSING,RETURNED,REFUNDED"
582,Howard Davis✓,jessica82@example.com,8,2026-07-15,"CANCELLED,SHIPPED,REFUNDED,RETURNED,PENDING"
588,Henry Miller,lawrencebrown@example.com,8,2026-06-19,"PROCESSING,RETURNED,REFUNDED,SHIPPED"
591,Roy Woods,fergusonjessica@example.com,8,2026-06-15,"PENDING,RETURNED,PROCESSING"
27,Emily Brooks,omartinez@example.com,7,2026-05-30,"PROCESSING,SHIPPED,REFUNDED"
69,Elizabeth Gray,christinaturner@example.com,7,2025-07-19,"SHIPPED,PROCESSING,RETURNED,PENDING,CANCELLED"
228,Paul Schroeder,mccormickdeborah@example.com,7,2026-06-23,"PROCESSING,CANCELLED,PENDING,RETURNED"
292,Daniel Allen,shannon21@example.com,7,2026-07-22,"CANCELLED,PROCESSING,RETURNED,REFUNDED"
391,Martin Campos,masonterri@example.com,7,2025-09-26,"CANCELLED,PROCESSING,RETURNED,REFUNDED,SHIPPED"
456,Nancy Mcdowell,john52@example.com,7,2026-04-29,"REFUNDED,CANCELLED,RETURNED,PENDING,SHIPPED"
516,Craig Sandoval,gallagherstacie@example.com,7,2026-02-25,"REFUNDED,SHIPPED,RETURNED,PROCESSING"
626,Angela Smith,pamela83@example.com,7,2024-06-29,"CANCELLED,RETURNED,PENDING,REFUNDED,SHIPPED"
627,Diamond Bryant,marcia37@example.com,7,2026-02-08,"REFUNDED,CANCELLED,PROCESSING,RETURNED"
674,Erica Sloan,susan08@example.com,7,2025-08-01,"CANCELLED,SHIPPED,REFUNDED,PROCESSING,PENDING"
705,Dana Johns,stacey37@example.com,7,2026-07-13,"PENDING,REFUNDED,PROCESSING,SHIPPED"
728,Melissa Galvan,james98@example.com,7,2024-11-29,"CANCELLED,PROCESSING,RETURNED,REFUNDED"
770,Courtney Anderson,anthonyalvarado@example.com,7,2025-06-10,"RETURNED,REFUNDED,PROCESSING,PENDING,SHIPPED"
781,Robert Castaneda,keithwalsh@example.com,7,2026-06-14,"PENDING,REFUNDED,RETURNED,PROCESSING,CANCELLED"
41,Breanna Shaw,brianromero@example.com,6,2024-10-17,"SHIPPED,PROCESSING,REFUNDED,RETURNED"
51,Cynthia Baker,rebecca01@example.com,6,2026-05-09,"CANCELLED,PENDING,PROCESSING,RETURNED"
52,Cynthia Calderon,cookdavid@example.com,6,2026-01-26,"RETURNED,REFUNDED,PENDING"
68,Kyle Ortiz,angela36@example.com,6,2026-07-12,"REFUNDED,PROCESSING,CANCELLED,PENDING,SHIPPED"
75,Charles Perry,jennifercruz@example.com,6,2025-10-22,"CANCELLED,PROCESSING,REFUNDED"
86,Unknown Customer,wwoods@example.com,6,2026-05-25,"REFUNDED,RETURNED,SHIPPED,PENDING"
93,Karen Decker,ruizkaitlyn@example.com,6,2026-01-30,"CANCELLED,PROCESSING,REFUNDED,RETURNED"
106,Nicholas Johnson,hunter35@example.com,6,2026-07-28,"RETURNED,SHIPPED,CANCELLED,REFUNDED,PENDING"
153,Gabrielle Mitchell,hamiltoncorey@example.com,6,2025-01-11,"SHIPPED,REFUNDED,RETURNED,PROCESSING"
161,Daniel James,victoria40@example.com,6,2025-10-01,"RETURNED,PROCESSING,REFUNDED,CANCELLED"
162,Tiffany Barrett,knightgina@example.com,6,2026-05-05,"RETURNED,PENDING,PROCESSING"
208,Erika Watkins,brandon69@example.com,6,2026-08-10,"RETURNED,PENDING,PROCESSING"
238,Erica Young,karen73@example.com,6,2026-04-15,"CANCELLED,REFUNDED,PROCESSING,SHIPPED"
289,John Aguirre,shawn02@example.com,6,2026-01-30,"PENDING,SHIPPED,REFUNDED"
314,Steve Patel,erica49@example.com,6,2026-05-24,"PENDING,REFUNDED,SHIPPED,CANCELLED"
318,Loretta Blevins,kellyroberts@example.com,6,2026-04-11,"CANCELLED,PENDING,SHIPPED,PROCESSING"
329,Troy Mays,znelson@example.com,6,2025-12-01,"CANCELLED,SHIPPED,RETURNED,REFUNDED"
351,Steven Ball,pmorrow@example.com,6,2026-07-19,"REFUNDED,SHIPPED,PROCESSING,PENDING"
369,Kyle Ward,zowens@example.com,6,2025-09-16,"SHIPPED,PROCESSING,CANCELLED,REFUNDED"
382,Lisa Adams,watsonrichard@example.com,6,2026-06-09,"PROCESSING,CANCELLED,REFUNDED,SHIPPED"
399,Ricky Johnson,carlsonkristen@example.com,6,2025-09-19,"CANCELLED,PROCESSING,SHIPPED,PENDING"
432,Devin Reyes,sreid@example.com,6,2026-06-04,"REFUNDED,PENDING,SHIPPED"
443,Gabriel Taylor,lindahudson@example.com,6,2025-09-15,"CANCELLED,PROCESSING,PENDING,RETURNED,SHIPPED"
475,Amanda Myers,collinssamuel@example.com,6,2025-11-18,"CANCELLED,PENDING,REFUNDED,SHIPPED"
525,Kevin Taylor,fconner@example.com,6,2026-01-10,"CANCELLED,PROCESSING,RETURNED,PENDING,REFUNDED"
539,Brian Rivera,uterry@example.com,6,2025-10-03,"REFUNDED,RETURNED,SHIPPED,CANCELLED,PROCESSING"
542,Christopher Colon,bgonzalez@example.com,6,2026-04-18,"REFUNDED,CANCELLED,SHIPPED,PENDING"
600,Andrew Norris,jjames@example.com,6,2026-07-06,"RETURNED,PROCESSING,SHIPPED,REFUNDED"
604,Chelsea Strickland,michaelortiz@example.com,6,2026-07-15,"CANCELLED,PENDING,REFUNDED,RETURNED"
656,Megan Turner,charles58@example.com,6,2025-01-11,"SHIPPED,REFUNDED,RETURNED,PENDING"
713,Nancy Wolfe,shawnaolson@example.com,6,2026-02-22,"PROCESSING,PENDING,SHIPPED,REFUNDED"
736,Timothy Sanchez,lmaldonado@example.com,6,2026-01-02,"CANCELLED,REFUNDED,PENDING"
759,Unknown Customer,barbarasantos@example.com,6,2026-01-15,"REFUNDED,CANCELLED,RETURNED,PROCESSING"
771,Michelle Nguyen,iproctor@example.com,6,2025-05-07,"CANCELLED,PENDING,REFUNDED,SHIPPED"
772,Sarah Dunn,brittanybryant@example.com,6,2025-06-05,"SHIPPED,PENDING,PROCESSING,CANCELLED"
778,Nicole Kim,jenniferbrewer@example.com,6,2026-05-23,"PROCESSING,REFUNDED,CANCELLED,RETURNED"
779,Maria Walker,hgarrett@example.com,6,2026-01-30,"CANCELLED,SHIPPED,RETURNED,REFUNDED,PENDING"
794,Kristen Alvarez,nathandavis@example.com,6,2026-05-18,"PENDING,REFUNDED,PROCESSING,CANCELLED"
28,Caleb Smith,briannasmith@example.com,5,2025-07-13,"RETURNED,REFUNDED,PENDING"
56,Laura Valencia,jason31@example.com,5,2025-11-20,"PROCESSING,REFUNDED,RETURNED,CANCELLED"
58,Eric Spears,theresacochran@example.com,5,2025-11-09,"CANCELLED,REFUNDED,PROCESSING"
72,Susan Fitzgerald,campbellelizabeth@example.com,5,2026-08-10,"CANCELLED,SHIPPED,REFUNDED,PROCESSING"
80,Lisa Mcclain,vmerritt@example.com,5,2025-08-20,"PENDING,REFUNDED,CANCELLED"
94,Brett Crane,harringtondenise@example.com,5,2026-06-09,"REFUNDED,PENDING,SHIPPED"
104,Steven Petersen,marcus31@example.com,5,2025-12-31,"SHIPPED,PROCESSING,CANCELLED,REFUNDED"
120,Rebekah Evans,ntorres@example.com,5,2026-04-01,"PENDING,CANCELLED,RETURNED,PROCESSING"
122,Christopher Allen,moorericky@example.com,5,2026-07-06,"RETURNED,REFUNDED,PENDING,CANCELLED"
131,Lisa Costa,ricky51@example.com,5,2025-07-24,"REFUNDED,PROCESSING,PENDING,CANCELLED"
139,Marilyn Jimenez,william46@example.com,5,2024-05-29,"RETURNED,PROCESSING,CANCELLED,REFUNDED,SHIPPED"
167,Christopher Phillips,ithompson@example.com,5,2026-08-10,"PROCESSING,REFUNDED"
206,Karen Williams,scott67@example.com,5,2026-02-05,"REFUNDED,PROCESSING,SHIPPED"
254,Cynthia Zavala,kellycarlos@example.com,5,2026-05-27,"RETURNED,REFUNDED,PROCESSING,PENDING"
287,Brandon May,debra96@example.com,5,2026-02-06,"CANCELLED,PROCESSING,RETURNED"
296,William Levy,brandon47@example.com,5,2026-02-10,"RETURNED,SHIPPED,CANCELLED,PROCESSING"
310,John Armstrong,leescott@example.com,5,2026-05-20,"RETURNED,SHIPPED,REFUNDED,PROCESSING"
312,Samantha Salas,thorntonapril@example.com,5,2026-07-30,"PROCESSING,SHIPPED,RETURNED,CANCELLED"
337,Christina Robinson,vhernandez@example.com,5,2026-04-29,"PROCESSING,REFUNDED,CANCELLED,PENDING"
352,Steven Moore,johnsondonna@example.com,5,2026-03-25,"CANCELLED,PROCESSING,SHIPPED,PENDING"
363,Mark Miller,christopher30@example.com,5,2024-10-30,"CANCELLED,PROCESSING,REFUNDED"
415,Elizabeth Jackson,hartdeanna@example.com,5,2025-05-14,"CANCELLED,PROCESSING,REFUNDED,SHIPPED"
419,Dan Perry,guerrajessica@example.com,5,2025-11-10,"PROCESSING,REFUNDED,RETURNED,CANCELLED"
426,Jason Ramirez,raylauren@example.com,5,2025-11-23,"PENDING,REFUNDED,CANCELLED,RETURNED"
439,Ashley Adams,amber07@example.com,5,2025-06-27,"RETURNED,PROCESSING"
449,Nicole Davis,heather57@example.com,5,2025-10-21,"CANCELLED,RETURNED,PENDING,PROCESSING"
452,Mallory Simpson,matthew92@example.com,5,2026-02-05,"PROCESSING,REFUNDED,CANCELLED,SHIPPED"
462,Nancy May,caseyelliott@example.com,5,2025-05-15,"REFUNDED,SHIPPED,PROCESSING,PENDING"
478,Jacqueline Martin,gary24@example.com,5,2026-04-20,"RETURNED,PROCESSING,PENDING,CANCELLED"
495,Dana Foster,grahamtamara@example.com,5,2025-08-25,"PENDING,REFUNDED,CANCELLED"
509,Felicia Thompson,joshuagriffin@example.com,5,2026-08-06,"REFUNDED,CANCELLED,PENDING,RETURNED"
515,Unknown Customer,katie32@example.com,5,2024-08-16,"PROCESSING,REFUNDED,PENDING,SHIPPED"
518,Joel Stewart,robin05@example.com,5,2025-04-24,"RETURNED,SHIPPED,PENDING,CANCELLED"
521,Jesse Robinson,nsmith@example.com,5,2025-08-25,"RETURNED,PENDING,SHIPPED"
528,Jacqueline Berry,whitelucas@example.com,5,2026-08-07,"REFUNDED,PENDING,PROCESSING,RETURNED"
546,Steven Perez,hernandezheather@example.com,5,2025-12-14,"CANCELLED,PENDING,RETURNED,PROCESSING"
586,David Becker,robert22@example.com,5,2026-08-10,"REFUNDED,CANCELLED,PROCESSING,RETURNED"
587,Victoria Cooper,tthomas@example.com,5,2023-12-27,"CANCELLED,PROCESSING,REFUNDED,RETURNED"
605,Ethan Kelley,haleycastillo@example.com,5,2025-04-12,"RETURNED,CANCELLED,PENDING,SHIPPED"
630,Cynthia Marsh,jacqueline02@example.com,5,2026-08-09,"PENDING,RETURNED,PROCESSING,CANCELLED"
641,James Weber,samantha22@example.com,5,2025-08-15,"REFUNDED,PROCESSING,RETURNED"
648,John Mueller,heather06@example.com,5,2026-04-24,"PENDING,RETURNED,REFUNDED"
651,Janet Holland,kimberlybrandt@example.com,5,2026-05-03,"RETURNED,PENDING,REFUNDED,PROCESSING"
653,Willie Bennett,angela22@example.com,5,2026-08-10,"PROCESSING,CANCELLED,RETURNED"
659,Stephanie Montgomery,wilsonmichael@example.com,5,2026-02-09,"PENDING,CANCELLED,PROCESSING"
699,Adam Macias,jerryrobertson@example.com,5,2026-03-30,"REFUNDED,PROCESSING,PENDING,RETURNED"
700,Juan Hernandez,carolyn13@example.com,5,2026-02-03,"REFUNDED,CANCELLED,RETURNED"
704,Gabriel Nielsen,kgreene@example.com,5,2025-08-06,"RETURNED,REFUNDED,CANCELLED,PROCESSING,PENDING"
734,Gregory Hunter,gordonmatthew@example.com,5,2026-06-21,"SHIPPED,PENDING"
747,Sheila Johnson,xdalton@example.com,5,2025-11-14,"PENDING,REFUNDED,SHIPPED"
776,Alan Weeks,xevans@example.com,5,2024-09-09,"PROCESSING,PENDING,SHIPPED,RETURNED,REFUNDED"
7,Unknown Customer,maria95@example.com,4,2025-04-15,"PENDING,SHIPPED,RETURNED"
13,Leslie Adams,jason76@example.com,4,2026-08-10,"PROCESSING,RETURNED,SHIPPED"
22,Amber Osborne,georgetracy@example.com,4,2024-09-13,"PENDING,REFUNDED,CANCELLED"
24,Stacey Miller,spenceamanda@example.com,4,2026-04-22,"PROCESSING,REFUNDED"
