customer_id,name,recency_days,frequency,monetary,r_score,f_score,m_score,rfm_cell,rfm_total
31,Barbara Sanchez,94,5,81667.47,5,5,5,555,15
156,Amanda Knight,90,6,72886.01,5,5,5,555,15
513,Michael Stephens,89,4,66725.29,5,5,5,555,15
135,Robert Lopez,85,4,62728.3,5,5,5,555,15
716,Jonathan Smith,81,4,59071.07,5,5,5,555,15
261,Pamela Paul,78,5,51320.31,5,5,5,555,15
86,Unknown Customer,76,5,67625.27,5,5,5,555,15
220,Bethany Maldonado,69,5,58224.63,5,5,5,555,15
32,Donna Gomez,67,6,86858.69,5,5,5,555,15
432,Devin Reyes,66,5,79611.33,5,5,5,555,15
591,Roy Woods,55,8,67595.11,5,5,5,555,15
588,Henry Miller,51,7,83715.9,5,5,5,555,15
758,Michael Castro,42,6,51202.82,5,5,5,555,15
526,Debra Thompson,36,5,55853.11,5,5,5,555,15
600,Andrew Norris,34,5,58000.33,5,5,5,555,15
210,David Jimenez,33,5,67493.93,5,5,5,555,15
665,Crystal Lewis,33,6,59424.43,5,5,5,555,15
193,Diana Rich,28,5,70571.56,5,5,5,555,15
397,Daniel Smith,26,4,77150.6,5,5,5,555,15
579,Donald Johnson,24,7,49709.97,5,5,5,555,15
2,Erica Mcclain,23,6,61033.41,5,5,5,555,15
198,Morgan Pugh,23,6,78995.34,5,5,5,555,15
3,Jeffery Wagner,20,5,59137.4,5,5,5,555,15
292,Daniel Allen,18,5,49554.23,5,5,5,555,15
365,Kathleen Ramsey,14,8,61028.12,5,5,5,555,15
562,Corey Melton,11,5,56636.05,5,5,5,555,15
541,Philip Dunn,5,4,60104.44,5,5,5,555,15
271,Debra Wright,3,5,73714.01,5,5,5,555,15
148,Wayne Lawrence,3,6,57680.8,5,5,5,555,15
630,Cynthia Marsh,0,4,68695.43,5,5,5,555,15
466,John Newman,0,6,71778.36,5,5,5,555,15
499,David Howard,0,5,52645.8,5,5,5,555,15
468,Kristen Leon,0,5,68320.87,5,5,5,555,15
761,Kim Griffin,0,5,68609.6,5,5,5,555,15
236,Christine Harper,0,5,73001.99,5,5,5,555,15
208,Erika Watkins,0,6,54666.69,5,5,5,555,15
245,Sarah Perry,0,6,76625.44,5,5,5,555,15
361,Thomas Atkinson,0,6,83536.88,5,5,5,555,15
